year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2025,7.5059,0.45306838,16.3716,12.42,0.2672,6.29482,1.0794086
2030,5.04524,9.856905000000001,16.3327,12.42,8.284572599999999,5.61546,9.1660295
2035,2.81574,9.840825,15.903979999999999,12.42,8.2637526,3.6147323,10.616829
2040,2.4444,9.5516062,5.02332,12.42,8.245812599999999,2.9563398000000003,12.055651
2045,2.35704,10.152044,0.6888,12.42,8.421803,3.2821698,13.046932
2050,2.2556,11.058154,0.6888,12.42,9.340416800000002,4.0587424,13.784325999999998
2025,7.5059,0.39359365,16.3716,12.42,0.2672,6.29482,0.82731377
2030,5.04524,9.556025,16.3327,12.42,8.1945885,5.61546,9.3836443
2035,2.81574,9.539945,15.903979999999999,12.42,8.1737685,3.4182428,10.874443
2040,2.4444,9.2744514,5.02332,12.42,8.1558285,2.7859087,12.28402
2045,2.35704,9.960586,0.6888,12.42,7.958588499999999,3.0590941,13.324397999999999
2050,2.2556,10.671303,0.6888,12.42,9.613886599999999,3.9237782,14.019179
2025,7.5059,0.30323368,16.3716,12.42,0.2672,6.29482,0.8859556
2030,5.04524,8.922045899999999,16.3327,12.42,6.3568926,5.61546,9.718239299999999
2035,2.81574,8.9059659,15.903979999999999,12.42,6.3360726000000005,3.2577409,11.223811
2040,2.4444,8.7308322,5.02332,12.42,6.3181326,2.2558316,12.686661
2045,2.35704,8.6699018,0.6888,12.42,6.9953981999999995,1.8022562,13.943513999999999
2050,2.2556,9.1692782,0.6888,12.42,7.3061959,2.1093506000000004,14.957058000000002
2025,7.5059,0.6023599000000001,16.3716,12.42,0.2672,6.29482,0.85566391
2030,5.04524,9.9409699,16.3327,12.42,9.196108,5.61546,9.153717
2035,2.81574,9.9248899,15.903979999999999,12.42,9.175288,3.2341550000000003,10.576823000000001
2040,2.4444,10.318952999999999,5.02332,12.42,9.157348,3.2269776,11.722875
2045,2.35704,10.917257,0.6888,12.42,10.076153,3.6216376,12.616384
2050,2.2556,11.372143,0.6888,12.42,10.495992,3.7725392,13.659566
2025,7.5059,0.75556273,16.3716,12.42,0.2672,6.29482,0.82256687
2030,5.04524,8.2704635,16.3327,12.42,7.6738462,5.61546,9.8800221
2035,2.81574,8.8596642,15.903979999999999,12.42,7.6530262,3.21062,11.116757
2040,2.4444,8.6254064,5.02332,12.42,7.6350862,1.91224,12.658227
2045,2.35704,8.655406300000001,0.6888,12.42,7.4378462,1.2058361,14.063547
2050,2.2556,9.9539907,0.6888,12.42,7.4084462,2.5146806,14.707616
2025,7.5059,0.34847036000000003,16.3716,12.42,0.2672,6.29482,0.91517386
2030,5.04524,9.1037628,16.3327,12.42,8.6559909,5.61546,9.3363792
2035,2.81574,9.0876828,15.903979999999999,12.42,8.8387166,3.21062,10.798054
2040,2.4444,9.337438599999999,5.02332,12.42,8.820776599999999,2.7552806999999997,12.020442
2045,2.35704,9.5748175,0.6888,12.42,8.6235366,2.6528222,13.229757
2050,2.2556,9.9031946,0.6888,12.42,8.7397468,2.6703341,14.359898999999999
2025,7.5059,0.50300221,16.3716,12.42,0.2672,6.29482,1.0667436000000001
2030,5.04524,8.2490928,16.3327,12.42,9.036673,5.61546,9.8652057
2035,2.81574,8.5936094,15.903979999999999,12.42,9.015853,3.21062,11.149125
2040,2.4444,8.739598599999999,5.02332,12.42,8.997913,1.91224,12.459378000000001
2045,2.35704,9.250960800000001,0.6888,12.42,8.800673000000002,2.0830376999999998,13.547873
2050,2.2556,9.636551299999999,0.6888,12.42,9.167475399999999,2.1700311,14.629779000000001
2025,7.5059,0.6992217399999999,16.3716,12.42,0.2672,6.29482,0.75338562
2030,5.04524,8.6897585,16.3327,12.42,8.4925137,5.61546,9.8588093
2035,2.81574,8.8130748,15.903979999999999,12.42,8.4716937,3.21062,11.186022999999999
2040,2.4444,9.0785288,5.02332,12.42,8.4537537,2.2207945,12.408915
2045,2.35704,9.4311062,0.6888,12.42,8.5016183,2.2132378,13.55223
2050,2.2556,9.824069,0.6888,12.42,8.8558523,2.3054561,14.634406
2025,7.5059,0.5546622,16.3716,12.42,0.2672,6.29482,0.9501837799999999
2030,5.04524,10.06962,16.3327,12.42,6.300566300000001,5.61546,9.555984200000001
2035,2.81574,10.053540000000002,15.903979999999999,12.42,6.747066,3.21062,11.035681
2040,2.4444,9.6269773,5.02332,12.42,6.729126,2.7833021,12.366614
2045,2.35704,8.3118906,0.6888,12.42,6.5871621,0.87106209,14.302466
2050,2.2556,9.610955599999999,0.6888,12.42,6.5577621,1.9327512999999998,15.013981
2025,7.5059,0.70192672,16.3716,12.42,0.2672,6.29482,0.88024001
2030,5.04524,10.222299999999999,16.3327,12.42,9.236904500000001,5.61546,8.9318005
2035,2.81574,10.20622,15.903979999999999,12.42,9.216084500000001,4.6832766,10.278561
2040,2.4444,9.6323937,5.02332,12.42,9.1981445,3.6379423,11.857332
2045,2.35704,9.5229761,0.6888,12.42,9.0009045,3.0644316,13.250984
2050,2.2556,10.054904,0.6888,12.42,9.485593999999999,3.3854154,14.234421000000001
2025,7.5059,0.44963569000000003,16.3716,12.42,0.2672,6.29482,1.0147601
2030,5.04524,9.2732589,16.3327,12.42,5.7686681,5.61546,9.826240799999999
2035,2.81574,9.257178900000001,15.903979999999999,12.42,6.4660861999999995,3.21062,11.199485000000001
2040,2.4444,8.935643200000001,5.02332,12.42,6.4481462,2.2663645999999997,12.65935
2045,2.35704,8.7968904,0.6888,12.42,6.2509062,1.2737108000000001,14.142001
2050,2.2556,9.302419,0.6888,12.42,6.7154694,1.7689161999999998,15.089581
2025,7.5059,0.44700105,16.3716,12.42,0.2672,6.29482,1.0826267
2030,5.04524,9.5226226,16.3327,12.42,7.5517569,5.61546,9.465802100000001
2035,2.81574,9.506542600000001,15.903979999999999,12.42,7.5309368999999995,3.21062,10.963719999999999
2040,2.4444,9.187641600000001,5.02332,12.42,7.5129969,2.1620975,12.484075
2045,2.35704,9.9467603,0.6888,12.42,7.3157569,2.6305413,13.4387
2050,2.2556,10.292236999999998,0.6888,12.42,7.4068887000000005,2.6305413,14.577627
2025,7.5059,0.38804949,16.3716,12.42,0.2672,6.29482,0.8299692599999999
2030,5.04524,8.2423819,16.3327,12.42,6.6628798,5.61546,9.9516524
2035,2.81574,8.226301900000001,15.903979999999999,12.42,7.357966500000001,3.21062,11.376627000000001
2040,2.4444,8.1836921,5.02332,12.42,7.3400265,1.91224,12.764629000000001
2045,2.35704,8.2913659,0.6888,12.42,7.142786500000001,1.3531994,14.058095999999999
2050,2.2556,8.6368395,0.6888,12.42,7.4404026000000005,1.4095826999999999,15.16135
2025,7.5059,0.30594227999999996,16.3716,12.42,0.2672,6.29482,0.88807183
2030,5.04524,8.7292382,16.3327,12.42,6.494278100000001,5.61546,9.8093614
2035,2.81574,8.7788949,15.903979999999999,12.42,6.4734581,3.21062,11.327447
2040,2.4444,8.659893899999998,5.02332,12.42,6.4555181,1.91224,12.807407999999999
2045,2.35704,8.1542678,0.6888,12.42,6.2582781,0.45510835,14.488828999999999
2050,2.2556,9.6082216,0.6888,12.42,6.2288781,2.2751812,14.982460999999999
2025,7.5059,0.59635461,16.3716,12.42,0.2672,6.29482,0.85881525
2030,5.04524,9.386711100000001,16.3327,12.42,9.6192549,5.61546,9.3517454
2035,2.81574,9.5688993,15.903979999999999,12.42,9.5984349,3.21062,10.663962
2040,2.4444,9.221288699999999,5.02332,12.42,9.5804949,2.2678091,12.148541
2045,2.35704,10.069064000000001,0.6888,12.42,9.3832549,2.7638253,13.081637
